Player,Team1,Team2,Runs,Balls,4s,6s,Ducks,SR,Dream11_score
Devon Conway,CSK,KKR,3,8,0,0,0,37.5,7
Robin Uthappa,CSK,KKR,28,21,2,2,0,133.33,40
Ambati Rayudu,CSK,KKR,15,17,1,1,0,88.24,22
Ravindra Jadeja,CSK,KKR,26,28,0,1,0,92.86,32
Shivam Dube,CSK,KKR,3,6,0,0,0,50,7
MS Dhoni,CSK,KKR,50,38,7,1,0,131.58,73
Ajinkya Rahane,KKR,CSK,44,34,6,1,0,129.41,60
Venkatesh Iyer,KKR,CSK,16,16,2,0,0,100,22
Nitish Rana,KKR,CSK,21,17,2,1,0,123.53,29
Shreyas Iyer,KKR,CSK,20,19,1,0,0,105.26,25
Sam Billings,KKR,CSK,25,22,1,1,0,113.64,32
Sheldon Jackson,KKR,CSK,3,3,0,0,0,100,7
Rohit Sharma,MI,DC,41,32,4,2,0,128.13,57
Ishan Kishan,MI,DC,81,48,11,2,0,168.75,112
Anmolpreet Singh,MI,DC,8,9,0,0,0,88.89,12
Tilak Varma,MI,DC,22,15,3,0,0,146.67,31
Kieron Pollard,MI,DC,3,6,0,0,0,50,7
Tim David,MI,DC,12,8,0,1,0,150,18
Daniel Sams,MI,DC,7,2,0,1,0,350,13
Prithvi Shaw,DC,MI,38,24,4,2,0,158.33,58
Tim Seifert,DC,MI,21,14,4,0,0,150,31
Rishabh Pant,DC,MI,1,2,0,0,0,50,5
Lalit Yadav,DC,MI,48,38,4,2,0,126.32,64
Shardul Thakur,DC,MI,22,11,4,0,0,200,36
Axar Patel,DC,MI,38,17,2,3,0,223.53,60
Faf Du Plessis,RCB,DC,88,57,3,7,0,154.39,121
Anuj Rawat,RCB,DC,21,20,2,1,0,105,29
Virat Kohli,RCB,DC,41,29,1,2,0,141.38,56
Dinesh Karthik,RCB,DC,32,14,3,3,0,228.57,55
Mayank Agarwal,PBSK,LSG,32,24,2,2,0,133.33,48
Shikhar Dhawan,PBSK,LSG,43,29,5,1,0,148.28,60
Bhanuka Rajapaksa,PBSK,LSG,43,22,2,4,0,195.45,67
Liam Livingstone,PBSK,LSG,19,10,0,2,0,190,33
Shahrukh Khan,PBSK,LSG,24,20,1,2,0,120,33
Odean Smith,PBSK,LSG,25,8,1,3,0,312.5,36
Quinton De Kock,LSG,PBSK,7,9,1,0,0,77.78,12
Evin Lewis,LSG,PBSK,10,9,2,0,0,111.11,16
Manish Pandey,LSG,PBSK,6,5,1,0,0,120,11
Deepak Hooda,LSG,PBSK,55,41,6,2,0,134.15,79
Ayush Badoni,LSG,PBSK,54,41,4,3,0,131.71,78
Krunal Pandya,LSG,PBSK,21,13,3,0,0,161.54,32
Dushmantha Chameera,LSG,PBSK,1,1,0,0,0,100,5
Matthew Wade,GT,RR,30,29,4,0,0,103.45,42
Vijay Shankar,GT,RR,4,6,0,0,0,66.67,8
Hardik Pandya,GT,RR,33,28,5,1,0,117.86,48
David Miller,GT,RR,30,21,1,2,0,142.86,45
Rahul Tewatia,GT,RR,40,24,5,2,0,166.67,61
Abhinav Manohar,GT,RR,15,7,3,0,0,214.29,22
