PlayerName,Team1,Team2,Overs,Maidens,Runs,Wickets,Economy,Dream11_score
Umesh Yadav,KKR,CSK,4,0,20,2,5,58
Shivam Mavi,KKR,CSK,4,0,35,0,8.75,4
Varun Chakaravarthy,KKR,CSK,4,0,23,1,5.75,33
Sunil Narine,KKR,CSK,4,0,15,0,3.75,10
Andre Russell,KKR,CSK,4,0,38,1,9.5,29
Tushar Deshpande,CSK,KKR,3,0,23,0,7.67,4
Adam Milne,CSK,KKR,2.3,0,19,0,7.6,4
Mitchell Santner,CSK,KKR,4,0,31,1,7.75,29
Dwayne Bravo,CSK,KKR,4,0,20,3,5,87
Shivam Dube,CSK,KKR,1,0,11,0,11,4
Ravindra Jadeja,CSK,KKR,4,0,25,0,6.25,6
Shardul Thakur,DC,MI,4,0,47,0,11.75,0
Khaleel Ahmed,DC,MI,4,0,27,2,6.75,56
Axar Patel,DC,MI,4,0,40,0,10,2
Kamlesh Nagarkoti,DC,MI,2,0,29,0,14.5,-2
Kuldeep Yadav,DC,MI,4,0,18,3,4.5,89
Lalit Yadav,DC,MI,2,0,15,0,7.5,4
Daniel Sams,MI,DC,4,0,57,0,14.25,-2
Jasprit Bumrah,MI,DC,3.2,0,43,0,12.9,-2
Basil Thampi,MI,DC,4,0,35,3,8.75,83
Murugan Ashwin,MI,DC,4,0,14,2,3.5,60
Tymal Mills,MI,DC,3,0,26,1,8.67,29
Sandeep Sharma,PBSK,RCB,4,0,37,0,9.25,4
Arshdeep Singh,PBSK,RCB,4,0,31,1,7.75,29
Odean Smith,PBSK,RCB,4,0,52,0,13,-2
Rahul Chahar,PBSK,RCB,4,0,22,1,5.5,33
Harpreet Brar,PBSK,RCB,3,0,38,0,12.67,-2
Liam Livingstone,PBSK,RCB,1,0,14,0,14,4
David Willey,RCB,PBSK,3,0,28,0,9.33,4
Mohammed Siraj,RCB,PBSK,4,0,59,2,14.75,48
Shahbaz Ahmed,RCB,PBSK,1,0,6,0,6,4
Akash Deep,RCB,PBSK,3,0,38,1,12.67,23
Wanindu Hasaranga,RCB,PBSK,4,0,40,1,10,27
Harshal Patel,RCB,PBSK,4,0,36,1,9,29
Mohammad Shami,GT,LSG,4,0,25,3,6.25,85
Varun Aaron,GT,LSG,4,0,45,2,11.25,50
Lockie Ferguson,GT,LSG,4,0,24,0,6,6
Hardik Pandya,GT,LSG,4,0,37,0,9.25,4
Rashid Khan,GT,LSG,4,0,27,1,6.75,31
Dushmantha Chameera,LSG,GT,3,0,22,2,7.33,54
Avesh Khan,LSG,GT,3.4,0,33,1,9,29
Mohsin Khan,LSG,GT,2,0,18,0,9,4
Ravi Bishnoi,LSG,GT,4,0,34,0,8.5,4
Krunal Pandya,LSG,GT,4,0,17,1,4.25,35
Deepak Hooda,LSG,GT,3,0,31,1,10.33,27
Bhuvneshwar Kumar,SRH,RR,4,0,29,1,7.25,29
Romario Shepherd,SRH,RR,4,0,33,1,8.25,29
Umran Malik,SRH,RR,4,0,39,2,9.75,54
Washington Sundar,SRH,RR,3,0,47,0,15.67,-2
T Natarajan,SRH,RR,4,0,43,2,10.75,52
Abhishek Sharma,SRH,RR,1,0,15,0,15,4
Trent Boult,RR,SRH,4,1,23,2,5.75,70
Prasidh Krishna,RR,SRH,4,1,16,2,4,72
Nathan Coulter-Nile,RR,SRH,3,0,48,0,16,-2
Ravichandran Ashwin,RR,SRH,4,0,21,0,5.25,8
Yuzvendra Chahal,RR,SRH,4,0,22,3,5.5,87
Riyan Parag,RR,SRH,1,0,14,0,14,4
David Willey,RCB,KKR,2,0,7,0,3.5,10
Mohammed Siraj,RCB,KKR,4,0,25,1,6.25,31
Akash Deep,RCB,KKR,3.5,0,45,3,11.74,79
Wanindu Hasaranga,RCB,KKR,4,0,20,4,5,116
Harshal Patel,RCB,KKR,4,2,11,2,2.75,84
Shahbaz Ahmed,RCB,KKR,1,0,16,0,16,4
Umesh Yadav,KKR,RCB,4,0,16,2,4,60
Tim Southee,KKR,RCB,4,0,20,3,5,87
Andre Russell,KKR,RCB,2.2,0,36,0,15.43,-2
Sunil Narine,KKR,RCB,4,0,12,1,3,35
Varun Chakaravarthy,KKR,RCB,4,0,33,1,8.25,29
Venkatesh Iyer,KKR,RCB,1,0,10,0,10,4
Avesh Khan,LSG,CSK,4,0,38,2,9.5,54
Dushmantha Chameera,LSG,CSK,4,0,49,0,12.25,-2
